INDEX 	 LONG(deg) 	 LAT(deg) 	 ALT_GEOM(m) 	 GRAV(mGal)
27607 	 -44.0613 	 -22.3928 	 472.27 	 978624.03
27608 	 -44.0719 	 -22.419 	 472.86 	 978626.47
27609 	 -44.0122 	 -22.3863 	 505.75 	 978623.01
27610 	 -43.9947 	 -22.7378 	 558.91 	 978617.61
27611 	 -44.0054 	 -22.4171 	 470.11 	 978633.41
27612 	 -43.9753 	 -22.429 	 441.69 	 978643.12
27613 	 -43.9507 	 -22.4504 	 399.43 	 978648.03
27614 	 -43.9376 	 -22.4136 	 448.45 	 978642.99
27615 	 -44.2051 	 -22.4895 	 457.9 	 978624.65
27616 	 -43.8818 	 -22.4344 	 445.77 	 978637.61
27617 	 -43.8766 	 -22.4001 	 654.45 	 978601.71
27618 	 -43.9722 	 -22.3246 	 569.69 	 978604.98
27619 	 -43.9823 	 -22.3489 	 533.95 	 978615.14
27620 	 -44.0207 	 -22.353 	 490.67 	 978618.72
27621 	 -44.0329 	 -22.3322 	 578.86 	 978596.82
27622 	 -44.0681 	 -22.3527 	 492.43 	 978614.34
27623 	 -44.0673 	 -22.3317 	 648.54 	 978583.06
27624 	 -44.0849 	 -22.3736 	 484.89 	 978615.87
27625 	 -44.123 	 -22.3203 	 696.05 	 978571.07
27626 	 -44.2871 	 -22.5015 	 556.1 	 978601.03
27627 	 -44.3103 	 -22.5117 	 562.15 	 978600.42
27628 	 -44.3736 	 -22.5035 	 492.91 	 978608.53
27629 	 -44.3837 	 -22.5088 	 448.92 	 978619.17
27630 	 -44.4568 	 -22.5441 	 443.6 	 978622.98
27631 	 -44.5267 	 -22.6215 	 525.76 	 978614.65
27632 	 -44.5437 	 -22.6099 	 521.99 	 978612.22
27633 	 -42.1423 	 -21.5314 	 105.73 	 978661.9
27634 	 -42.1277 	 -21.4987 	 117.29 	 978657.62
27635 	 -42.1023 	 -21.4828 	 129.06 	 978656.72
27636 	 -42.0794 	 -21.5111 	 163.58 	 978652.84
27637 	 -42.0642 	 -21.4882 	 133.08 	 978658.05
27638 	 -42.0534 	 -21.4524 	 143.31 	 978652.74
27639 	 -42.0367 	 -21.4689 	 146.87 	 978654.54
27640 	 -42.0095 	 -21.4382 	 159.38 	 978650.11
27641 	 -41.9988 	 -21.4234 	 164.92 	 978647.53
27642 	 -42.1005 	 -21.5149 	 104.35 	 978664.87
27643 	 -42.1013 	 -21.5635 	 139.43 	 978658.69
27644 	 -42.0592 	 -21.5675 	 93.07 	 978669.27
27645 	 -42.038 	 -21.5441 	 115.2 	 978662.69
27646 	 -42.0163 	 -21.5213 	 126.64 	 978657.58
27647 	 -41.994 	 -21.5062 	 157.91 	 978649.43
27648 	 -41.9727 	 -21.4928 	 231.76 	 978639.97
27649 	 -41.8404 	 -21.6412 	 201.9 	 978648.69
27650 	 -41.9088 	 -21.4677 	 209.75 	 978650.06
27651 	 -41.9281 	 -21.3794 	 128.09 	 978652.13
27652 	 -41.9001 	 -21.3845 	 157.61 	 978648.22
27653 	 -42.0642 	 -21.6107 	 114.07 	 978671.83
27654 	 -42.0214 	 -21.6176 	 82.54 	 978681.93
27655 	 -41.9257 	 -21.5679 	 56.15 	 978688.13
27656 	 -41.9644 	 -21.5627 	 155.02 	 978670.77
27657 	 -41.9042 	 -21.533 	 343.84 	 978636.15
27658 	 -41.9296 	 -21.512 	 517.57 	 978599.71
27659 	 -41.926 	 -21.4454 	 203.93 	 978643.62
27660 	 -41.8949 	 -21.4374 	 185.17 	 978649.34
27661 	 -42.2287 	 -21.5029 	 104.78 	 978655.45
27662 	 -42.283 	 -21.5436 	 141.03 	 978651.13
27663 	 -42.3291 	 -21.5886 	 152.72 	 978646.85
27664 	 -42.3438 	 -21.6053 	 168.9 	 978645.15
27665 	 -42.3161 	 -21.6546 	 152.39 	 978654.66
27666 	 -42.2749 	 -21.6383 	 145.27 	 978657.04
27667 	 -42.1714 	 -22.6209 	 37.17 	 978759.92
27668 	 -42.1552 	 -22.6037 	 24.14 	 978760.87
27669 	 -42.1323 	 -22.6333 	 22.28 	 978765.23
27670 	 -42.0879 	 -22.4478 	 88.24 	 978734.24
27671 	 -42.0982 	 -22.3845 	 41.54 	 978732.8
27672 	 -42.1203 	 -22.3708 	 149.17 	 978709.44
27673 	 -42.1493 	 -22.389 	 381.16 	 978666.73
27674 	 -42.1815 	 -22.3948 	 479.69 	 978646.39
27675 	 -42.1386 	 -22.3511 	 233.02 	 978684.76
27676 	 -42.1384 	 -22.3086 	 461.77 	 978636.3
27677 	 -42.0569 	 -22.681 	 12.19 	 978779.08
27678 	 -42.0772 	 -22.6634 	 17.39 	 978773.44
27679 	 -42.0898 	 -22.674 	 45.28 	 978768.15
27680 	 -42.1048 	 -22.6398 	 14.45 	 978770.17
27681 	 -42.1083 	 -22.6218 	 32.99 	 978762.44
27682 	 -42.0425 	 -22.6233 	 12.06 	 978770.46
27683 	 -42.0101 	 -22.544 	 13.97 	 978757.27
27684 	 -42.0173 	 -22.5176 	 15.99 	 978754.8
27685 	 -42.0975 	 -22.3271 	 220.35 	 978685.95
27686 	 -42.0621 	 -22.3137 	 261.75 	 978681.18
27687 	 -42.0358 	 -22.3412 	 50.93 	 978728.53
27688 	 -42.0084 	 -22.3316 	 27.99 	 978734.59
27689 	 -42.2704 	 -22.7691 	 56.81 	 978775.81
27690 	 -42.3244 	 -22.7557 	 41.91 	 978771.51
27691 	 -42.3538 	 -22.7758 	 26.43 	 978776.95
27692 	 -42.3932 	 -22.7727 	 50.44 	 978768.92
27693 	 -42.4209 	 -22.7881 	 42.05 	 978773.14
27694 	 -42.5583 	 -22.7444 	 70.44 	 978755.05
27695 	 -42.5264 	 -22.7305 	 50.59 	 978756.8
27696 	 -43.1772 	 -22.9233 	 -3.09 	 978796.91
27697 	 -43.1331 	 -22.9058 	 1.26 	 978789.44
27698 	 -41.5601 	 -21.1872 	 66.99 	 978657.67
27699 	 -41.5211 	 -21.2265 	 101.36 	 978652.96
27700 	 -41.4774 	 -21.2273 	 69.71 	 978659.26
27701 	 -41.4395 	 -21.2659 	 87.53 	 978657.89
27702 	 -41.3956 	 -21.2747 	 50.94 	 978665.38
27703 	 -41.3164 	 -21.2643 	 22.63 	 978673.99
27704 	 -41.3529 	 -21.2765 	 23.52 	 978673.62
27705 	 -41.5189 	 -21.1881 	 56.11 	 978661.94
27706 	 -41.4788 	 -21.2627 	 81.44 	 978659.78
27707 	 -41.4295 	 -21.2295 	 51.76 	 978663.91
27708 	 -41.3997 	 -21.2289 	 52.85 	 978664.19
27709 	 -41.3466 	 -21.2332 	 12.96 	 978670.94
27710 	 -41.8584 	 -21.0709 	 335.39 	 978580.43
27711 	 -41.8195 	 -21.0522 	 504.31 	 978550.09
27712 	 -41.8062 	 -21.024 	 694.09 	 978509.42
27713 	 -41.7703 	 -21.0207 	 790.57 	 978495.89
27714 	 -41.7697 	 -21.0697 	 240.73 	 978610.1
27715 	 -41.6505 	 -21.1817 	 129.75 	 978639.92
27716 	 -43.1401 	 -22.4135 	 681.63 	 978598.38
27717 	 -41.6159 	 -21.4885 	 15.87 	 978689.18
27718 	 -42.6545 	 -22.4663 	 41.97 	 978721.9
27719 	 -41.6499 	 -21.2173 	 334.59 	 978603.9
27720 	 -41.1091 	 -21.3964 	 19.52 	 978705.32
27721 	 -41.0617 	 -21.3536 	 17.43 	 978704.97
27722 	 -41.0651 	 -21.395 	 13.85 	 978710.1
27723 	 -41.023 	 -21.3933 	 7.43 	 978715.41
27724 	 -40.9837 	 -21.3864 	 -1.03 	 978719.54
27725 	 -41.019 	 -21.3563 	 9.24 	 978711.1
27726 	 -40.9786 	 -21.3503 	 6.45 	 978714.11
27727 	 -40.9801 	 -21.3139 	 11.02 	 978706.08
27728 	 -41.0259 	 -21.2478 	 -2.15 	 978698.94
27729 	 -41.0269 	 -21.27 	 20.56 	 978696.52
27730 	 -41.0655 	 -21.273 	 27.7 	 978693.37
27731 	 -41.1023 	 -21.2748 	 26.74 	 978688.86
27732 	 -41.1034 	 -21.2389 	 -4.51 	 978688.96
27733 	 -41.1434 	 -21.2807 	 39.54 	 978681.97
27734 	 -41.1466 	 -21.3072 	 41.92 	 978685.67
27735 	 -41.1853 	 -21.3128 	 47.49 	 978681.77
27736 	 -41.1879 	 -21.2701 	 55.54 	 978673.41
27737 	 -41.228 	 -21.3096 	 14.28 	 978684.8
27738 	 -41.6061 	 -21.1926 	 109.49 	 978646.86
27739 	 -41.6098 	 -21.2236 	 98.65 	 978652.44
27740 	 -41.6426 	 -21.2709 	 458.84 	 978585.13
27741 	 -41.5241 	 -21.2655 	 78.57 	 978660.42
27742 	 -41.5613 	 -21.267 	 98.74 	 978658.35
27743 	 -41.5579 	 -21.2218 	 76.44 	 978660.68
